,,,,,,,,,,10,,,,,100,,,10,,,,,,,,,,,,,10,,,,,,,10,,,,
22.2,0.07151,,22.2,0,,22.2,4.49,,22.2,0,0,,22.2,44.9,0.449,,22.2,61.21,6.121,,22.2,56.8,,22.2,3.7476,,22.2,3,,22.2,222,247,,22.2,18.5,,22.2,222,395.15,,22.2,8.44
23.6,0.0566,,23.6,0,,23.6,3.41,,23.6,0,0,,23.6,48.9,0.489,,23.6,70.07,7.007,,23.6,86.3,,23.6,3.4217,,23.6,2,,23.6,236,270,,23.6,17.8,,23.6,236,396.9,,23.6,5.5
28.7,0.05302,,28.7,0,,28.7,3.41,,28.7,0,0,,28.7,48.9,0.489,,28.7,70.79,7.079,,28.7,63.1,,28.7,3.4145,,28.7,2,,28.7,287,270,,28.7,17.8,,28.7,287,396.06,,28.7,5.7
22.6,0.04684,,22.6,0,,22.6,3.41,,22.6,0,0,,22.6,48.9,0.489,,22.6,64.17,6.417,,22.6,66.1,,22.6,3.0923,,22.6,2,,22.6,226,270,,22.6,17.8,,22.6,226,392.18,,22.6,8.81
25,0.02875,,25,28,,25,15.04,,25,0,0,,25,46.4,0.464,,25,62.11,6.211,,25,28.9,,25,3.6659,,25,4,,25,250,270,,25,18.2,,25,250,396.33,,25,6.21
20.6,0.04294,,20.6,28,,20.6,15.04,,20.6,0,0,,20.6,46.4,0.464,,20.6,62.49,6.249,,20.6,77.3,,20.6,3.615,,20.6,4,,20.6,206,270,,20.6,18.2,,20.6,206,396.9,,20.6,10.59
21.4,0.11504,,21.4,0,,21.4,2.89,,21.4,0,0,,21.4,44.5,0.445,,21.4,61.63,6.163,,21.4,69.6,,21.4,3.4952,,21.4,2,,21.4,214,276,,21.4,18,,21.4,214,391.83,,21.4,11.34
27.5,0.14866,,27.5,0,,27.5,8.56,,27.5,0,0,,27.5,52,0.52,,27.5,67.27,6.727,,27.5,79.9,,27.5,2.7778,,27.5,5,,27.5,275,384,,27.5,20.9,,27.5,275,394.76,,27.5,9.42
26.5,0.11432,,26.5,0,,26.5,8.56,,26.5,0,0,,26.5,52,0.52,,26.5,67.81,6.781,,26.5,71.3,,26.5,2.8561,,26.5,5,,26.5,265,384,,26.5,20.9,,26.5,265,395.58,,26.5,7.67
18.6,0.22876,,18.6,0,,18.6,8.56,,18.6,0,0,,18.6,52,0.52,,18.6,64.05,6.405,,18.6,85.4,,18.6,2.7147,,18.6,5,,18.6,186,384,,18.6,20.9,,18.6,186,70.8,,18.6,10.63
19.3,0.21161,,19.3,0,,19.3,8.56,,19.3,0,0,,19.3,52,0.52,,19.3,61.37,6.137,,19.3,87.4,,19.3,2.7147,,19.3,5,,19.3,193,384,,19.3,20.9,,19.3,193,394.47,,19.3,13.44
19.5,0.1712,,19.5,0,,19.5,8.56,,19.5,0,0,,19.5,52,0.52,,19.5,58.36,5.836,,19.5,91.9,,19.5,2.211,,19.5,5,,19.5,195,384,,19.5,20.9,,19.5,195,395.67,,19.5,18.66
20.4,0.13117,,20.4,0,,20.4,8.56,,20.4,0,0,,20.4,52,0.52,,20.4,61.27,6.127,,20.4,85.2,,20.4,2.1224,,20.4,5,,20.4,204,384,,20.4,20.9,,20.4,204,387.69,,20.4,14.09
19.8,0.12802,,19.8,0,,19.8,8.56,,19.8,0,0,,19.8,52,0.52,,19.8,64.74,6.474,,19.8,97.1,,19.8,2.4329,,19.8,5,,19.8,198,384,,19.8,20.9,,19.8,198,395.24,,19.8,12.27
19.4,0.26363,,19.4,0,,19.4,8.56,,19.4,0,0,,19.4,52,0.52,,19.4,62.29,6.229,,19.4,91.2,,19.4,2.5451,,19.4,5,,19.4,194,384,,19.4,20.9,,19.4,194,391.23,,19.4,15.55
22.8,0.10084,,22.8,0,,22.8,10.01,,22.8,0,0,,22.8,54.7,0.547,,22.8,67.15,6.715,,22.8,81.6,,22.8,2.6775,,22.8,6,,22.8,228,432,,22.8,17.8,,22.8,228,395.59,,22.8,10.16
18.5,0.14231,,18.5,0,,18.5,10.01,,18.5,0,0,,18.5,54.7,0.547,,18.5,62.54,6.254,,18.5,84.2,,18.5,2.2565,,18.5,6,,18.5,185,432,,18.5,17.8,,18.5,185,388.74,,18.5,10.45
21.2,0.13158,,21.2,0,,21.2,10.01,,21.2,0,0,,21.2,54.7,0.547,,21.2,61.76,6.176,,21.2,72.5,,21.2,2.7301,,21.2,6,,21.2,212,432,,21.2,17.8,,21.2,212,393.3,,21.2,12.04
19.2,0.15098,,19.2,0,,19.2,10.01,,19.2,0,0,,19.2,54.7,0.547,,19.2,60.21,6.021,,19.2,82.6,,19.2,2.7474,,19.2,6,,19.2,192,432,,19.2,17.8,,19.2,192,394.51,,19.2,10.3
20.4,0.13058,,20.4,0,,20.4,10.01,,20.4,0,0,,20.4,54.7,0.547,,20.4,58.72,5.872,,20.4,73.1,,20.4,2.4775,,20.4,6,,20.4,204,432,,20.4,17.8,,20.4,204,338.63,,20.4,15.37
19.3,0.14476,,19.3,0,,19.3,10.01,,19.3,0,0,,19.3,54.7,0.547,,19.3,57.31,5.731,,19.3,65.2,,19.3,2.7592,,19.3,6,,19.3,193,432,,19.3,17.8,,19.3,193,391.5,,19.3,13.61
22,0.06899,,22,0,,22,25.65,,22,0,0,,22,58.1,0.581,,22,58.7,5.87,,22,69.7,,22,2.2577,,22,2,,22,220,188,,22,19.1,,22,220,389.15,,22,14.37
20.3,0.07165,,20.3,0,,20.3,25.65,,20.3,0,0,,20.3,58.1,0.581,,20.3,60.04,6.004,,20.3,84.1,,20.3,2.1974,,20.3,2,,20.3,203,188,,20.3,19.1,,20.3,203,377.67,,20.3,14.27
20.5,0.09299,,20.5,0,,20.5,25.65,,20.5,0,0,,20.5,58.1,0.581,,20.5,59.61,5.961,,20.5,92.9,,20.5,2.0869,,20.5,2,,20.5,205,188,,20.5,19.1,,20.5,205,378.09,,20.5,17.93
17.3,0.15038,,17.3,0,,17.3,25.65,,17.3,0,0,,17.3,58.1,0.581,,17.3,58.56,5.856,,17.3,97,,17.3,1.9444,,17.3,2,,17.3,173,188,,17.3,19.1,,17.3,173,370.31,,17.3,25.41
18.8,0.09849,,18.8,0,,18.8,25.65,,18.8,0,0,,18.8,58.1,0.581,,18.8,58.79,5.879,,18.8,95.8,,18.8,2.0063,,18.8,2,,18.8,188,188,,18.8,19.1,,18.8,188,379.38,,18.8,17.58
15.7,0.38735,,15.7,0,,15.7,25.65,,15.7,0,0,,15.7,58.1,0.581,,15.7,56.13,5.613,,15.7,95.6,,15.7,1.7572,,15.7,2,,15.7,157,188,,15.7,19.1,,15.7,157,359.29,,15.7,27.26
16.2,0.25915,,16.2,0,,16.2,21.89,,16.2,0,0,,16.2,62.4,0.624,,16.2,56.93,5.693,,16.2,96,,16.2,1.7883,,16.2,4,,16.2,162,437,,16.2,21.2,,16.2,162,392.11,,16.2,17.19
18,0.32543,,18,0,,18,21.89,,18,0,0,,18,62.4,0.624,,18,64.31,6.431,,18,98.8,,18,1.8125,,18,4,,18,180,437,,18,21.2,,18,180,396.9,,18,15.39
19.6,1.19294,,19.6,0,,19.6,21.89,,19.6,0,0,,19.6,62.4,0.624,,19.6,63.26,6.326,,19.6,97.7,,19.6,2.271,,19.6,4,,19.6,196,437,,19.6,21.2,,19.6,196,396.9,,19.6,12.26
18.4,0.32982,,18.4,0,,18.4,21.89,,18.4,0,0,,18.4,62.4,0.624,,18.4,58.22,5.822,,18.4,95.4,,18.4,2.4699,,18.4,4,,18.4,184,437,,18.4,21.2,,18.4,184,388.69,,18.4,15.03
15.6,0.97617,,15.6,0,,15.6,21.89,,15.6,0,0,,15.6,62.4,0.624,,15.6,57.57,5.757,,15.6,98.4,,15.6,2.346,,15.6,4,,15.6,156,437,,15.6,21.2,,15.6,156,262.76,,15.6,17.31
17.4,0.32264,,17.4,0,,17.4,21.89,,17.4,0,0,,17.4,62.4,0.624,,17.4,59.42,5.942,,17.4,93.5,,17.4,1.9669,,17.4,4,,17.4,174,437,,17.4,21.2,,17.4,174,378.25,,17.4,16.9
17.1,0.35233,,17.1,0,,17.1,21.89,,17.1,0,0,,17.1,62.4,0.624,,17.1,64.54,6.454,,17.1,98.4,,17.1,1.8498,,17.1,4,,17.1,171,437,,17.1,21.2,,17.1,171,394.08,,17.1,14.59
13.3,0.2498,,13.3,0,,13.3,21.89,,13.3,0,0,,13.3,62.4,0.624,,13.3,58.57,5.857,,13.3,98.2,,13.3,1.6686,,13.3,4,,13.3,133,437,,13.3,21.2,,13.3,133,392.04,,13.3,21.32
17.8,0.54452,,17.8,0,,17.8,21.89,,17.8,0,0,,17.8,62.4,0.624,,17.8,61.51,6.151,,17.8,97.9,,17.8,1.6687,,17.8,4,,17.8,178,437,,17.8,21.2,,17.8,178,396.9,,17.8,18.46
14.4,1.62864,,14.4,0,,14.4,21.89,,14.4,0,0,,14.4,62.4,0.624,,14.4,50.19,5.019,,14.4,100,,14.4,1.4394,,14.4,4,,14.4,144,437,,14.4,21.2,,14.4,144,396.9,,14.4,34.41
13.4,3.32105,,13.4,0,,13.4,19.58,,13.4,10,1,,13.4,87.1,0.871,,13.4,54.03,5.403,,13.4,100,,13.4,1.3216,,13.4,5,,13.4,134,403,,13.4,14.7,,13.4,134,396.9,,13.4,26.82
13.8,2.37934,,13.8,0,,13.8,19.58,,13.8,0,0,,13.8,87.1,0.871,,13.8,61.3,6.13,,13.8,100,,13.8,1.4191,,13.8,5,,13.8,138,403,,13.8,14.7,,13.8,138,172.91,,13.8,27.8
14.6,2.36862,,14.6,0,,14.6,19.58,,14.6,0,0,,14.6,87.1,0.871,,14.6,49.26,4.926,,14.6,95.7,,14.6,1.4608,,14.6,5,,14.6,146,403,,14.6,14.7,,14.6,146,391.71,,14.6,29.53
17.8,2.33099,,17.8,0,,17.8,19.58,,17.8,0,0,,17.8,87.1,0.871,,17.8,51.86,5.186,,17.8,93.8,,17.8,1.5296,,17.8,5,,17.8,178,403,,17.8,14.7,,17.8,178,356.99,,17.8,28.32
15.4,2.73397,,15.4,0,,15.4,19.58,,15.4,0,0,,15.4,87.1,0.871,,15.4,55.97,5.597,,15.4,94.9,,15.4,1.5257,,15.4,5,,15.4,154,403,,15.4,14.7,,15.4,154,351.85,,15.4,21.45
21.5,1.6566,,21.5,0,,21.5,19.58,,21.5,0,0,,21.5,87.1,0.871,,21.5,61.22,6.122,,21.5,97.3,,21.5,1.618,,21.5,5,,21.5,215,403,,21.5,14.7,,21.5,215,372.8,,21.5,14.1
19.4,2.14918,,19.4,0,,19.4,19.58,,19.4,0,0,,19.4,87.1,0.871,,19.4,57.09,5.709,,19.4,98.5,,19.4,1.6232,,19.4,5,,19.4,194,403,,19.4,14.7,,19.4,194,261.95,,19.4,15.79
17,1.41385,,17,0,,17,19.58,,17,10,1,,17,87.1,0.871,,17,61.29,6.129,,17,96,,17,1.7494,,17,5,,17,170,403,,17,14.7,,17,170,321.02,,17,15.12
13.1,2.44668,,13.1,0,,13.1,19.58,,13.1,0,0,,13.1,87.1,0.871,,13.1,52.72,5.272,,13.1,94,,13.1,1.7364,,13.1,5,,13.1,131,403,,13.1,14.7,,13.1,131,88.63,,13.1,16.14
24.3,1.34284,,24.3,0,,24.3,19.58,,24.3,0,0,,24.3,60.5,0.605,,24.3,60.66,6.066,,24.3,100,,24.3,1.7573,,24.3,5,,24.3,243,403,,24.3,14.7,,24.3,243,353.89,,24.3,6.43
23.3,1.42502,,23.3,0,,23.3,19.58,,23.3,0,0,,23.3,87.1,0.871,,23.3,65.1,6.51,,23.3,100,,23.3,1.7659,,23.3,5,,23.3,233,403,,23.3,14.7,,23.3,233,364.31,,23.3,7.39
27,1.27346,,27,0,,27,19.58,,27,10,1,,27,60.5,0.605,,27,62.5,6.25,,27,92.6,,27,1.7984,,27,5,,27,270,403,,27,14.7,,27,270,338.92,,27,5.5
50,1.46336,,50,0,,50,19.58,,50,0,0,,50,60.5,0.605,,50,74.89,7.489,,50,90.8,,50,1.9709,,50,5,,50,500,403,,50,14.7,,50,500,374.43,,50,1.73
50,1.51902,,50,0,,50,19.58,,50,10,1,,50,60.5,0.605,,50,83.75,8.375,,50,93.9,,50,2.162,,50,5,,50,500,403,,50,14.7,,50,500,388.45,,50,3.32
22.7,2.24236,,22.7,0,,22.7,19.58,,22.7,0,0,,22.7,60.5,0.605,,22.7,58.54,5.854,,22.7,91.8,,22.7,2.422,,22.7,5,,22.7,227,403,,22.7,14.7,,22.7,227,395.11,,22.7,11.64
25,2.924,,25,0,,25,19.58,,25,0,0,,25,60.5,0.605,,25,61.01,6.101,,25,93,,25,2.2834,,25,5,,25,250,403,,25,14.7,,25,250,240.16,,25,9.81
50,2.01019,,50,0,,50,19.58,,50,0,0,,50,60.5,0.605,,50,79.29,7.929,,50,96.2,,50,2.0459,,50,5,,50,500,403,,50,14.7,,50,500,369.3,,50,3.7
23.8,1.80028,,23.8,0,,23.8,19.58,,23.8,0,0,,23.8,60.5,0.605,,23.8,58.77,5.877,,23.8,79.2,,23.8,2.4259,,23.8,5,,23.8,238,403,,23.8,14.7,,23.8,238,227.61,,23.8,12.14
